Pose: [{'x': 5.544444561004639, 'y': 5.544444561004639, 'theta': 0.0, 'linear_velocity': 0.0, 'angular_velocity': 0.0}]
Pose: [{'x': 6.945551872253418, 'y': 4.019673824310303, 'theta': -0.6824167370796204, 'linear_velocity': 1.3314651250839233, 'angular_velocity': -1.0068845748901367}]
Pose: [{'x': 6.9618659019470215, 'y': 4.005973815917969, 'theta': -0.6985268592834473, 'linear_velocity': 1.3314651250839233, 'angular_velocity': -1.0068845748901367}]
Pose: [{'x': 6.977956771850586, 'y': 3.9920127391815186, 'theta': -0.714637041091919, 'linear_velocity': 1.3314651250839233, 'angular_velocity': -1.0068845748901367}]
Pose: [{'x': 6.993821144104004, 'y': 3.9777941703796387, 'theta': -0.7307471632957458, 'linear_velocity': 1.3314651250839233, 'angular_velocity': -1.0068845748901367}]
Pose: [{'x': 7.009454250335693, 'y': 3.9633219242095947, 'theta': -0.7468573451042175, 'linear_velocity': 1.3314651250839233, 'angular_velocity': -1.0068845748901367}]
Pose: [{'x': 7.0248517990112305, 'y': 3.9485998153686523, 'theta': -0.7629674673080444, 'linear_velocity': 1.3314651250839233, 'angular_velocity': -1.0068845748901367}]
Pose: [{'x': 7.040010452270508, 'y': 3.933631658554077, 'theta': -0.7790776491165161, 'linear_velocity': 1.3314651250839233, 'angular_velocity': -1.0068845748901367}]
Pose: [{'x': 7.05492639541626, 'y': 3.9184210300445557, 'theta': -0.795187771320343, 'linear_velocity': 1.3314651250839233, 'angular_velocity': -1.0068845748901367}]
Pose: [{'x': 7.069594860076904, 'y': 3.9029722213745117, 'theta': -0.8112979531288147, 'linear_velocity': 1.3314651250839233, 'angular_velocity': -1.0068845748901367}]
Pose: [{'x': 7.084012985229492, 'y': 3.887289047241211, 'theta': -0.8274080753326416, 'linear_velocity': 1.3314651250839233, 'angular_velocity': -1.0068845748901367}]
Pose: [{'x': 7.098176002502441, 'y': 3.871375560760498, 'theta': -0.8435182571411133, 'linear_velocity': 1.3314651250839233, 'angular_velocity': -1.0068845748901367}]
Pose: [{'x': 7.112081527709961, 'y': 3.855236053466797, 'theta': -0.859628438949585, 'linear_velocity': 1.3314651250839233, 'angular_velocity': -1.0068845748901367}]
Pose: [{'x': 7.125724792480469, 'y': 3.8388748168945312, 'theta': -0.8757385611534119, 'linear_velocity': 1.3314651250839233, 'angular_velocity': -1.0068845748901367}]
Pose: [{'x': 7.139102935791016, 'y': 3.822295665740967, 'theta': -0.8918487429618835, 'linear_velocity': 1.3314651250839233, 'angular_velocity': -1.0068845748901367}]
Pose: [{'x': 7.1548004150390625, 'y': 3.8033981323242188, 'theta': -0.8776311874389648, 'linear_velocity': 1.5354340076446533, 'angular_velocity': 0.8885948657989502}]
Pose: [{'x': 7.170764923095703, 'y': 3.7847256660461426, 'theta': -0.8634136915206909, 'linear_velocity': 1.5354340076446533, 'angular_velocity': 0.8885948657989502}]
Pose: [{'x': 7.186993598937988, 'y': 3.766282081604004, 'theta': -0.8491961359977722, 'linear_velocity': 1.5354340076446533, 'angular_velocity': 0.8885948657989502}]
Pose: [{'x': 7.2034831047058105, 'y': 3.7480709552764893, 'theta': -0.8349786400794983, 'linear_velocity': 1.5354340076446533, 'angular_velocity': 0.8885948657989502}]
Pose: [{'x': 7.220229148864746, 'y': 3.7300961017608643, 'theta': -0.8207611441612244, 'linear_velocity': 1.5354340076446533, 'angular_velocity': 0.8885948657989502}]
Pose: [{'x': 7.237229824066162, 'y': 3.7123613357543945, 'theta': -0.8065435886383057, 'linear_velocity': 1.5354340076446533, 'angular_velocity': 0.8885948657989502}]
Pose: [{'x': 7.254480361938477, 'y': 3.6948699951171875, 'theta': -0.7923260927200317, 'linear_velocity': 1.5354340076446533, 'angular_velocity': 0.8885948657989502}]
Pose: [{'x': 7.27197790145874, 'y': 3.6776256561279297, 'theta': -0.7781085968017578, 'linear_velocity': 1.5354340076446533, 'angular_velocity': 0.8885948657989502}]
Pose: [{'x': 7.289719104766846, 'y': 3.6606316566467285, 'theta': -0.7638910412788391, 'linear_velocity': 1.5354340076446533, 'angular_velocity': 0.8885948657989502}]
Pose: [{'x': 7.307699680328369, 'y': 3.6438918113708496, 'theta': -0.7496735453605652, 'linear_velocity': 1.5354340076446533, 'angular_velocity': 0.8885948657989502}]
Pose: [{'x': 7.325916767120361, 'y': 3.6274092197418213, 'theta': -0.7354559898376465, 'linear_velocity': 1.5354340076446533, 'angular_velocity': 0.8885948657989502}]
Pose: [{'x': 7.344366073608398, 'y': 3.611187219619751, 'theta': -0.7212384939193726, 'linear_velocity': 1.5354340076446533, 'angular_velocity': 0.8885948657989502}]
Pose: [{'x': 7.363044261932373, 'y': 3.595229387283325, 'theta': -0.7070209980010986, 'linear_velocity': 1.5354340076446533, 'angular_velocity': 0.8885948657989502}]
Pose: [{'x': 7.3819475173950195, 'y': 3.579538345336914, 'theta': -0.6928034424781799, 'linear_velocity': 1.5354340076446533, 'angular_velocity': 0.8885948657989502}]
Pose: [{'x': 7.401072025299072, 'y': 3.564117908477783, 'theta': -0.678585946559906, 'linear_velocity': 1.5354340076446533, 'angular_velocity': 0.8885948657989502}]
Pose: [{'x': 7.420413970947266, 'y': 3.548970937728882, 'theta': -0.6643684506416321, 'linear_velocity': 1.5354340076446533, 'angular_velocity': 0.8885948657989502}]
Pose: [{'x': 7.439969062805176, 'y': 3.534100294113159, 'theta': -0.6501508951187134, 'linear_velocity': 1.5354340076446533, 'angular_velocity': 0.8885948657989502}]
